#srch1
CSM1DC-001	妙蛙种子 bulbasaur pokemon g basic csm1dc a  草  飞叶快刀 30\n\n\n 飞叶快刀 gc 30
CSMPbC-004	喷火龙 charizard pokemon r stage 2 csmpbc c 特性  旺盛斗气\n在自己的回合可以使用1次 给这只宝可梦身上放置2个伤害指示物 然后 将自己牌库中最多2张 火 能量 附着于这只宝可梦身上 并重洗牌库 \n\n 火  火  连续火焰球 30+\n将附着于这只宝可梦身上的 火 能量全部放于弃牌区 追加造成其张数×50点伤害 \n\n 连续火焰球 rr 30+ 将附着于这只宝可梦身上的 火 能量全部放于弃牌区 追加造成其张数×50点伤害  旺盛斗气 在自己的回合可以使用1次 给这只宝可梦身上放置2个伤害指示物 然后 将自己牌库中最多2张 火 能量 附着于这只宝可梦身上 并重洗牌库 
CS2aC-029	喷火龙 charizard pokemon r stage 2 cs2ac d 特性  战斗意识\n在自己的回合可以使用1次 查看自己牌库上方3张卡牌 选择其中1张卡牌 加入手牌 将剩余的卡牌放于弃牌区 \n\n 火  火  王者烈焰 100+\n追加造成自己弃牌区中的 丹帝 的张数×50点伤害 \n\n 王者烈焰 rr 100+ 追加造成自己弃牌区中的 丹帝 的张数×50点伤害  战斗意识 在自己的回合可以使用1次 查看自己牌库上方3张卡牌 选择其中1张卡牌 加入手牌 将剩余的卡牌放于弃牌区 
CSMC-001	喷火龙 charizard pokemon r stage 2 csmc d 特性  战斗意识\n在自己的回合可以使用1次 查看自己牌库上方3张卡牌 选择其中1张卡牌 加入手牌 将剩余的卡牌放于弃牌区 \n\n 火  火  王者烈焰 100+\n追加造成自己弃牌区中的 丹帝 的张数×50点伤害 \n\n 王者烈焰 rr 100+ 追加造成自己弃牌区中的 丹帝 的张数×50点伤害  战斗意识 在自己的回合可以使用1次 查看自己牌库上方3张卡牌 选择其中1张卡牌 加入手牌 将剩余的卡牌放于弃牌区 
SSP-163	喷火龙 pokemon r stage 2 ssp d  火  火  火  英勇火焰 180\n选择附着于这只宝可梦身上的1个能量 放于弃牌区 \n\n 英勇火焰 rrrc 180 选择附着于这只宝可梦身上的1个能量 放于弃牌区 
CS5aC-003	喷火龙 charizard pokemon r stage 2 cs5ac f 特性  猛烈燃烧\n只要这只宝可梦在场上 附着于自己场上宝可梦身上的基本 火 能量 各被视作2个 火 能量 这个效果 无论拥有这个特性的宝可梦有多少只 都不会叠加 \n\n 火  火  闪焰冲锋 170\n将附着于这只宝可梦身上的 火 能量 全部放于弃牌区 \n\n 闪焰冲锋 rrcc 170 将附着于这只宝可梦身上的 火 能量 全部放于弃牌区  猛烈燃烧 只要这只宝可梦在场上 附着于自己场上宝可梦身上的基本 火 能量 各被视作2个 火 能量 这个效果 无论拥有这个特性的宝可梦有多少只 都不会叠加 
CSVE1C-014	喷火龙 charizard pokemon r stage 2 csve1c f 特性  猛烈燃烧\n只要这只宝可梦在场上 附着于自己场上宝可梦身上的基本 火 能量 各被视作2个 火 能量 这个效果 无论拥有这个特性的宝可梦有多少只 都不会叠加 \n\n 火  火  闪焰冲锋 170\n将附着于这只宝可梦身上的 火 能量 全部放于弃牌区 \n\n 闪焰冲锋 rrcc 170 将附着于这只宝可梦身上的 火 能量 全部放于弃牌区  猛烈燃烧 只要这只宝可梦在场上 附着于自己场上宝可梦身上的基本 火 能量 各被视作2个 火 能量 这个效果 无论拥有这个特性的宝可梦有多少只 都不会叠加 
151C-006	喷火龙ex charizard ex pokemon ex r stage 2 151c g  火  英勇之翼 60+\n如果这只宝可梦身上放置有伤害指示物的话 则追加造成100伤害 \n\n 火  火  火  火  爆炎漩涡 330\n选择这只宝可梦身上附着的3个能量 放于弃牌区 \n\n 英勇之翼 r 60+ 如果这只宝可梦身上放置有伤害指示物的话 则追加造成100伤害  爆炎漩涡 rrrr 330 选择这只宝可梦身上附着的3个能量 放于弃牌区 
151C-175	喷火龙ex charizard ex pokemon ex r stage 2 151c g  火  英勇之翼 60+\n如果这只宝可梦身上放置有伤害指示物的话 则追加造成100伤害 \n\n 火  火  火  火  爆炎漩涡 330\n选择这只宝可梦身上附着的3个能量 放于弃牌区 \n\n 英勇之翼 r 60+ 如果这只宝可梦身上放置有伤害指示物的话 则追加造成100伤害  爆炎漩涡 rrrr 330 选择这只宝可梦身上附着的3个能量 放于弃牌区 
CSV5C-075	喷火龙ex charizard ex pokemon ex d stage 2 csv5c g 特性  烈炎支配\n在自己的回合 当将这张卡牌从手牌使出并进行进化时 可使用1次 选择自己牌库中最多3张 基本 火 能量  以任意方式附着于自己的宝可梦身上 并重洗牌库 \n\n 火  火  燃烧黑暗 180+\n追加造成对手已经获得的奖赏卡张数×30伤害 \n\n 燃烧黑暗 rr 180+ 追加造成对手已经获得的奖赏卡张数×30伤害  烈炎支配 在自己的回合 当将这张卡牌从手牌使出并进行进化时 可使用1次 选择自己牌库中最多3张 基本 火 能量  以任意方式附着于自己的宝可梦身上 并重洗牌库 
CSV5C-145	喷火龙ex charizard ex pokemon ex d stage 2 csv5c g 特性  烈炎支配\n在自己的回合 当将这张卡牌从手牌使出并进行进化时 可使用1次 选择自己牌库中最多3张 基本 火 能量  以任意方式附着于自己的宝可梦身上 并重洗牌库 \n\n 火  火  燃烧黑暗 180+\n追加造成对手已经获得的奖赏卡张数×30伤害 \n\n 燃烧黑暗 rr 180+ 追加造成对手已经获得的奖赏卡张数×30伤害  烈炎支配 在自己的回合 当将这张卡牌从手牌使出并进行进化时 可使用1次 选择自己牌库中最多3张 基本 火 能量  以任意方式附着于自己的宝可梦身上 并重洗牌库 
CSV5C-155	喷火龙ex charizard ex pokemon ex d stage 2 csv5c g 特性  烈炎支配\n在自己的回合 当将这张卡牌从手牌使出并进行进化时 可使用1次 选择自己牌库中最多3张 基本 火 能量  以任意方式附着于自己的宝可梦身上 并重洗牌库 \n\n 火  火  燃烧黑暗 180+\n追加造成对手已经获得的奖赏卡张数×30伤害 \n\n 燃烧黑暗 rr 180+ 追加造成对手已经获得的奖赏卡张数×30伤害  烈炎支配 在自己的回合 当将这张卡牌从手牌使出并进行进化时 可使用1次 选择自己牌库中最多3张 基本 火 能量  以任意方式附着于自己的宝可梦身上 并重洗牌库 
CSV5C-162	喷火龙ex charizard ex pokemon ex d stage 2 csv5c g 特性  烈炎支配\n在自己的回合 当将这张卡牌从手牌使出并进行进化时 可使用1次 选择自己牌库中最多3张 基本 火 能量  以任意方式附着于自己的宝可梦身上 并重洗牌库 \n\n 火  火  燃烧黑暗 180+\n追加造成对手已经获得的奖赏卡张数×30伤害 \n\n 燃烧黑暗 rr 180+ 追加造成对手已经获得的奖赏卡张数×30伤害  烈炎支配 在自己的回合 当将这张卡牌从手牌使出并进行进化时 可使用1次 选择自己牌库中最多3张 基本 火 能量  以任意方式附着于自己的宝可梦身上 并重洗牌库 
CSVE1C-015	喷火龙ex charizard ex pokemon ex r stage 2 csve1c g  火  英勇之翼 60+\n如果这只宝可梦身上放置有伤害指示物的话 则追加造成100伤害 \n\n 火  火  火  火  爆炎漩涡 330\n选择这只宝可梦身上附着的3个能量 放于弃牌区 \n\n 英勇之翼 r 60+ 如果这只宝可梦身上放置有伤害指示物的话 则追加造成100伤害  爆炎漩涡 rrrr 330 选择这只宝可梦身上附着的3个能量 放于弃牌区 
CSVE1pC-002	喷火龙ex charizard ex pokemon ex r stage 2 csve1pc g  火  英勇之翼 60+\n如果这只宝可梦身上放置有伤害指示物的话 则追加造成100伤害 \n\n 火  火  火  火  爆炎漩涡 330\n选择这只宝可梦身上附着的3个能量 放于弃牌区 \n\n 英勇之翼 r 60+ 如果这只宝可梦身上放置有伤害指示物的话 则追加造成100伤害  爆炎漩涡 rrrr 330 选择这只宝可梦身上附着的3个能量 放于弃牌区 
CSVL1C-008	喷火龙ex charizard ex pokemon ex r stage 2 csvl1c g  火  英勇之翼 60+\n如果这只宝可梦身上放置有伤害指示物的话 则追加造成100伤害 \n\n 火  火  火  火  爆炎漩涡 330\n选择这只宝可梦身上附着的3个能量 放于弃牌区 \n\n 英勇之翼 r 60+ 如果这只宝可梦身上放置有伤害指示物的话 则追加造成100伤害  爆炎漩涡 rrrr 330 选择这只宝可梦身上附着的3个能量 放于弃牌区 
CSVL1C-120	喷火龙ex charizard ex pokemon ex r stage 2 csvl1c g  火  英勇之翼 60+\n如果这只宝可梦身上放置有伤害指示物的话 则追加造成100伤害 \n\n 火  火  火  火  爆炎漩涡 330\n选择这只宝可梦身上附着的3个能量 放于弃牌区 \n\n 英勇之翼 r 60+ 如果这只宝可梦身上放置有伤害指示物的话 则追加造成100伤害  爆炎漩涡 rrrr 330 选择这只宝可梦身上附着的3个能量 放于弃牌区 
CSVL2C-044	喷火龙ex charizard ex pokemon ex d stage 2 csvl2c g 特性  烈炎支配\n在自己的回合 当将这张卡牌从手牌使出并进行进化时 可使用1次 选择自己牌库中最多3张 基本 火 能量  以任意方式附着于自己的宝可梦身上 并重洗牌库 \n\n 火  火  燃烧黑暗 180+\n追加造成对手已经获得的奖赏卡张数×30伤害 \n\n 燃烧黑暗 rr 180+ 追加造成对手已经获得的奖赏卡张数×30伤害  烈炎支配 在自己的回合 当将这张卡牌从手牌使出并进行进化时 可使用1次 选择自己牌库中最多3张 基本 火 能量  以任意方式附着于自己的宝可梦身上 并重洗牌库 
CSVL2C-122	喷火龙ex charizard ex pokemon ex d stage 2 csvl2c g 特性  烈炎支配\n在自己的回合 当将这张卡牌从手牌使出并进行进化时 可使用1次 选择自己牌库中最多3张 基本 火 能量  以任意方式附着于自己的宝可梦身上 并重洗牌库 \n\n 火  火  燃烧黑暗 180+\n追加造成对手已经获得的奖赏卡张数×30伤害 \n\n 燃烧黑暗 rr 180+ 追加造成对手已经获得的奖赏卡张数×30伤害  烈炎支配 在自己的回合 当将这张卡牌从手牌使出并进行进化时 可使用1次 选择自己牌库中最多3张 基本 火 能量  以任意方式附着于自己的宝可梦身上 并重洗牌库 
CSVL2C-128	喷火龙ex charizard ex pokemon ex d stage 2 csvl2c g 特性  烈炎支配\n在自己的回合 当将这张卡牌从手牌使出并进行进化时 可使用1次 选择自己牌库中最多3张 基本 火 能量  以任意方式附着于自己的宝可梦身上 并重洗牌库 \n\n 火  火  燃烧黑暗 180+\n追加造成对手已经获得的奖赏卡张数×30伤害 \n\n 燃烧黑暗 rr 180+ 追加造成对手已经获得的奖赏卡张数×30伤害  烈炎支配 在自己的回合 当将这张卡牌从手牌使出并进行进化时 可使用1次 选择自己牌库中最多3张 基本 火 能量  以任意方式附着于自己的宝可梦身上 并重洗牌库 
CSVM1aC-006	喷火龙ex charizard ex pokemon ex d stage 2 csvm1ac g 特性  烈炎支配\n在自己的回合 当将这张卡牌从手牌使出并进行进化时 可使用1次 选择自己牌库中最多3张 基本 火 能量  以任意方式附着于自己的宝可梦身上 并重洗牌库 \n\n 火  火  燃烧黑暗 180+\n追加造成对手已经获得的奖赏卡张数×30伤害 \n\n 燃烧黑暗 rr 180+ 追加造成对手已经获得的奖赏卡张数×30伤害  烈炎支配 在自己的回合 当将这张卡牌从手牌使出并进行进化时 可使用1次 选择自己牌库中最多3张 基本 火 能量  以任意方式附着于自己的宝可梦身上 并重洗牌库 
SVP-089	喷火龙ex charizard ex pokemon ex d stage 2 svp g 特性  烈炎支配\n在自己的回合 当将这张卡牌从手牌使出并进行进化时 可使用1次 选择自己牌库中最多3张 基本 火 能量  以任意方式附着于自己的宝可梦身上 并重洗牌库 \n\n 火  火  燃烧黑暗 180+\n追加造成对手已经获得的奖赏卡张数×30伤害 \n\n 燃烧黑暗 rr 180+ 追加造成对手已经获得的奖赏卡张数×30伤害  烈炎支配 在自己的回合 当将这张卡牌从手牌使出并进行进化时 可使用1次 选择自己牌库中最多3张 基本 火 能量  以任意方式附着于自己的宝可梦身上 并重洗牌库 
SVP-353	喷火龙ex charizard ex pokemon ex d stage 2 svp g 特性  烈炎支配\n在自己的回合 当将这张卡牌从手牌使出并进行进化时 可使用1次 选择自己牌库中最多3张 基本 火 能量  以任意方式附着于自己的宝可梦身上 并重洗牌库 \n\n 火  火  燃烧黑暗 180+\n追加造成对手已经获得的奖赏卡张数×30伤害 \n\n 燃烧黑暗 rr 180+ 追加造成对手已经获得的奖赏卡张数×30伤害  烈炎支配 在自己的回合 当将这张卡牌从手牌使出并进行进化时 可使用1次 选择自己牌库中最多3张 基本 火 能量  以任意方式附着于自己的宝可梦身上 并重洗牌库 
CSM1aC-004	喷火龙gx charizard-gx pokemon gx r stage 2 csm1ac a  翅膀攻击 70\n\n\n 火  火  火  红莲风暴 300\n将附着于这只宝可梦身上的3个 火 能量 放于弃牌区 \n\n 火  愤怒驱逐gx \n将对手牌库上方的10张卡牌放于弃牌区  对战中 己方的gx招式只能使用1次  \n\n 翅膀攻击 ccc 70 红莲风暴 rrrcc 300 将附着于这只宝可梦身上的3个 火 能量 放于弃牌区  愤怒驱逐gx rcc 将对手牌库上方的10张卡牌放于弃牌区  对战中 己方的gx招式只能使用1次  
CSM1aC-168	喷火龙gx charizard-gx pokemon gx r stage 2 csm1ac a  翅膀攻击 70\n\n\n 火  火  火  红莲风暴 300\n将附着于这只宝可梦身上的3个 火 能量 放于弃牌区 \n\n 火  愤怒驱逐gx \n将对手牌库上方的10张卡牌放于弃牌区  对战中 己方的gx招式只能使用1次  \n\n 翅膀攻击 ccc 70 红莲风暴 rrrcc 300 将附着于这只宝可梦身上的3个 火 能量 放于弃牌区  愤怒驱逐gx rcc 将对手牌库上方的10张卡牌放于弃牌区  对战中 己方的gx招式只能使用1次  
CSM1aC-190	喷火龙gx charizard-gx pokemon gx r stage 2 csm1ac a  翅膀攻击 70\n\n\n 火  火  火  红莲风暴 300\n将附着于这只宝可梦身上的3个 火 能量 放于弃牌区 \n\n 火  愤怒驱逐gx \n将对手牌库上方的10张卡牌放于弃牌区  对战中 己方的gx招式只能使用1次  \n\n 翅膀攻击 ccc 70 红莲风暴 rrrcc 300 将附着于这只宝可梦身上的3个 火 能量 放于弃牌区  愤怒驱逐gx rcc 将对手牌库上方的10张卡牌放于弃牌区  对战中 己方的gx招式只能使用1次  
CSM2.1C-047	喷火龙gx charizard-gx pokemon gx r stage 2 csm2 1c a  翅膀攻击 70\n\n\n 火  火  火  红莲风暴 300\n将附着于这只宝可梦身上的3个 火 能量 放于弃牌区 \n\n 火  愤怒驱逐gx \n将对手牌库上方的10张卡牌放于弃牌区  对战中 己方的gx招式只能使用1次  \n\n 翅膀攻击 ccc 70 红莲风暴 rrrcc 300 将附着于这只宝可梦身上的3个 火 能量 放于弃牌区  愤怒驱逐gx rcc 将对手牌库上方的10张卡牌放于弃牌区  对战中 己方的gx招式只能使用1次  
CSM2cC-005	喷火龙gx charizard-gx pokemon gx r stage 2 csm2cc c  火  火  喷射火焰 140\n\n\n 火  火  闪焰冲锋gx 300\n 对战中 己方的gx招式只能使用1次  \n\n 喷射火焰 rrcc 140 闪焰冲锋gx rrcc 300  对战中 己方的gx招式只能使用1次  
CSMPbC-005	喷火龙gx charizard-gx pokemon gx r stage 2 csmpbc c  火  火  喷射火焰 140\n\n\n 火  火  闪焰冲锋gx 300\n 对战中 己方的gx招式只能使用1次  \n\n 喷射火焰 rrcc 140 闪焰冲锋gx rrcc 300  对战中 己方的gx招式只能使用1次  
CSMPiC-002	喷火龙gx charizard-gx pokemon gx r stage 2 csmpic c  火  火  喷射火焰 140\n\n\n 火  火  闪焰冲锋gx 300\n 对战中 己方的gx招式只能使用1次  \n\n 喷射火焰 rrcc 140 闪焰冲锋gx rrcc 300  对战中 己方的gx招式只能使用1次  
CS2aC-030	喷火龙v charizard v pokemon v r basic cs2ac d  利爪劈开 80\n\n\n 火  火  火焰旋涡 220\n选择附着于这只宝可梦身上的2个能量 放于弃牌区 \n\n 利爪劈开 ccc 80 火焰旋涡 rrcc 220 选择附着于这只宝可梦身上的2个能量 放于弃牌区 
CS2aC-133	喷火龙v charizard v pokemon v r basic cs2ac d  利爪劈开 80\n\n\n 火  火  火焰旋涡 220\n选择附着于这只宝可梦身上的2个能量 放于弃牌区 \n\n 利爪劈开 ccc 80 火焰旋涡 rrcc 220 选择附着于这只宝可梦身上的2个能量 放于弃牌区 
SSP-175	喷火龙v charizard v pokemon v r basic ssp d  利爪劈开 80\n\n\n 火  火  火焰旋涡 220\n选择附着于这只宝可梦身上的2个能量 放于弃牌区 \n\n 利爪劈开 ccc 80 火焰旋涡 rrcc 220 选择附着于这只宝可梦身上的2个能量 放于弃牌区 
CS5aC-004	喷火龙v charizard v pokemon v r basic cs5ac f  火  火  烧净 90\n在造成伤害前 将放于对手战斗宝可梦身上的 宝可梦道具 放于弃牌区 \n\n 火  火  火  高温爆破 180\n\n\n 烧净 rrc 90 在造成伤害前 将放于对手战斗宝可梦身上的 宝可梦道具 放于弃牌区  高温爆破 rrrc 180
CS5aC-131	喷火龙v charizard v pokemon v r basic cs5ac f  火  火  烧净 90\n在造成伤害前 将放于对手战斗宝可梦身上的 宝可梦道具 放于弃牌区 \n\n 火  火  火  高温爆破 180\n\n\n 烧净 rrc 90 在造成伤害前 将放于对手战斗宝可梦身上的 宝可梦道具 放于弃牌区  高温爆破 rrrc 180
